Datetime,Timestamp,Price,VIX-Close,7-Day-LIBOR,7-Day-VM,7-Day-VNM
2008-07-30,1217390400000.0,22.84,21.21,2.45563,,
2008-07-31,1217476800000.0,22.7071,22.94,2.435,,
2008-08-01,1217563200000.0,22.38,22.57,2.41375,,
2008-08-04,1217822400000.0,21.89,23.49,2.41063,,
2008-08-05,1217908800000.0,22.9486,21.14,2.41625,,
2008-08-06,1217995200000.0,23.4557,20.23,2.40625,,
2008-08-07,1218081600000.0,23.3671,21.15,2.415,,
2008-08-08,1218168000000.0,24.2214,20.66,2.40875,,
2008-08-11,1218427200000.0,24.7943,20.12,2.40125,0.42602380419617053,0.45001683894670785
2008-08-12,1218513600000.0,25.2471,21.17,2.39875,0.4210061999810494,0.4736868791066018
2008-08-13,1218600000000.0,25.6143,21.55,2.40188,0.3752359641360225,0.47892636170798997
2008-08-14,1218686400000.0,25.6171,20.34,2.39938,0.25861804925082804,0.4662148182548097
2008-08-15,1218772800000.0,25.1057,19.58,2.39813,0.22008355412072902,0.34956171933209707
2008-08-18,1219032000000.0,25.0557,20.98,2.395,0.30164856584222316,0.3451967586136278
2008-08-19,1219118400000.0,24.79,21.28,2.39188,0.2984067872104532,0.34455665179591505
2008-08-20,1219204800000.0,25.12,20.42,2.37875,0.25548913375522264,0.26183291418800014
2008-08-21,1219291200000.0,24.8986,19.82,2.41375,0.22729385082697523,0.2295661494518338
2008-08-22,1219377600000.0,25.2557,18.81,2.4175,0.20221936380203012,0.2051104207838912
2008-08-25,1219636800000.0,24.65,20.97,2.4175,0.2015314529869427,0.20451536517077956
2008-08-26,1219723200000.0,24.8057,20.49,2.4275,0.2407106397444598,0.2587825228852327
2008-08-27,1219809600000.0,24.9528,19.76,2.44,0.22456488269002178,0.2265176393706117
2008-08-28,1219896000000.0,24.82,19.43,2.415,0.22919207605207645,0.22941716397042383
2008-08-29,1219982400000.0,24.2186,20.65,2.40625,0.22133440587803135,0.22135454572397945
2008-09-02,1220328000000.0,23.7414,21.99,2.395,0.2430387741606579,0.25924419559428763
2008-09-03,1220414400000.0,23.8514,21.43,2.39375,0.25875829306331904,0.28418498392094627
2008-09-04,1220500800000.0,23.0314,24.03,2.39,0.23037298842538956,0.2702232480133956
2008-09-05,1220587200000.0,22.8829,23.06,2.37875,0.2682938359276916,0.31638324853740585
2008-09-08,1220846400000.0,22.56,22.64,2.37563,0.2459940070403522,0.31653128731406316
2008-09-09,1220932800000.0,21.6686,25.47,2.36375,0.21301839925847948,0.32759382551409694
2008-09-10,1221019200000.0,21.6586,24.52,2.3525,0.25112519187092136,0.4188629423310746
2008-09-11,1221105600000.0,21.8071,24.39,2.3475,0.2714952475704345,0.387019695357988
2008-09-12,1221192000000.0,21.2771,25.66,2.34375,0.30142436344221574,0.367258691657681
2008-09-15,1221451200000.0,20.0514,31.7,2.34,0.283351926882158,0.3997452689418242
2008-09-16,1221537600000.0,19.9829,30.3,2.49375,0.37517483328608847,0.5077175000069624
