Datetime,Timestamp,Price,VIX,7-Day-LIBOR,7-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,110-Calls,110-Calls-P,110-Calls-ROI,110-Puts,110-Puts-P,110-Puts-ROI,110-Calls,110-Calls-P,110-Calls-ROI
2008-07-30,1217390400000,22.84,21.21,2.4556299999999998,,,,,,,,,,,,,,,,,,,
2008-07-31,1217476800000,22.7071,22.94,2.435,,,,,,,,,,,,,,,,,,,
2008-08-01,1217563200000,22.38,22.57,2.41375,,,,,,,,,,,,,,,,,,,
2008-08-04,1217822400000,21.89,23.49,2.41063,,,,,,,,,,,,,,,,,,,
2008-08-05,1217908800000,22.9486,21.14,2.41625,,,,,,,,,,,,,,,,,,,
2008-08-06,1217995200000,23.4557,20.23,2.40625,,,,,,,,,,,,,,,,,,,
2008-08-07,1218081600000,23.3671,21.15,2.415,,,,,,,,,,,,,,,,,,,
2008-08-08,1218168000000,24.2214,20.66,2.40875,,,,,,,,,,,,,,,,,,,
2008-08-11,1218427200000,24.7943,20.12,2.40125,41.77041395873185,0.5776952039378944,-0.2519952039378932,-43.620788647742366,0.5662797178355579,-0.5662797178355579,-100.0,,,,0.031800662487589504,-0.031800662487589504,-100.0,2.49867362777502,-0.3449436277750202,-13.805069375234105,,,
2008-08-12,1218513600000,25.2471,21.17,2.39875,37.229289152680025,0.5249384079766504,-0.5249384079766504,-100.0,0.5133265484812402,-0.1648265484812388,-32.10949228496069,,,,0.01761530728838745,-0.01761530728838745,-100.0,2.5295522618434383,0.34365773815656553,13.585714094166265,,,
2008-08-13,1218600000000,25.6143,21.55,2.40188,25.658964107637946,0.368932547358698,-0.368932547358698,-100.0,0.3571364336162066,0.001463566383792525,0.40980595818049,,,,0.0011180771049921073,-0.0011180771049921073,-100.0,2.549572351988253,0.3704576480117474,14.530187689039321,,,
2008-08-14,1218686400000,25.6171,20.34,2.39938,21.83573819470026,0.3148824853252066,-0.3148824853252066,-100.0,0.3030973586209562,0.6640026413790459,219.0723945600021,,,,0.0001899643736952769,-0.0001899643736952769,-100.0,2.548936324999019,0.9798736750009844,38.44245403036349,,,
2008-08-15,1218772800000,25.1057,19.58,2.39813,29.928265820918078,0.4207855255961324,-0.4207855255961324,-100.0,0.4092416837812536,-0.10924168378125644,-26.693684468283024,,,,0.004130724743674485,-0.004130724743674485,-100.0,2.5020024987473057,0.3085675012526927,12.332821466292913,,,
2008-08-18,1219032000000,25.0557,20.98,2.395,29.60663056847359,0.41548999912160056,-0.41548999912160056,-100.0,0.4039841811600233,-0.3010841811600216,-74.5287056278964,,,,0.003791568685894475,-0.003791568685894475,-100.0,2.496705168928159,0.1117648310718451,4.476492958110309,,,
2008-08-19,1219118400000,24.79,21.28,2.39188,25.348526647336374,0.3527864603817505,-0.3227864603817494,-91.49627228677141,0.3414174808529307,-0.3414174808529307,-100.0,,,,0.0009608370706269963,-0.0009608370706269963,-100.0,2.467454959588924,-0.018454959588925846,-0.7479350136547347,,,
2008-08-20,1219204800000,25.12,20.42,2.37875,22.5511126433396,0.3186460774483049,-0.3186460774483049,-100.0,0.3071889814137201,0.5942110185862823,193.4350040329093,,,,0.0002753735823534178,-0.0002753735823534178,-100.0,2.4996725679443124,0.9137274320556904,36.55388484769124,,,
2008-08-21,1219291200000,24.8986,19.82,2.41375,20.063330508820073,0.28171539548364777,-0.28171539548364777,-100.0,0.2701922279883036,0.887007772011696,328.28767082452646,,,,5.9603070087840125e-05,-5.9603070087840125e-05,-100.0,2.4772441188252152,1.1698158811747843,47.222470820903474,,,
2008-08-22,1219377600000,25.2557,18.81,2.4175,19.99507897353584,0.28481302551579546,-0.28481302551579546,-100.0,0.273106435838697,1.1311935641613022,414.1951326366441,,,,5.7577649686705104e-05,-5.7577649686705104e-05,-100.0,2.5127503290048767,1.417119670995124,56.39715393277234,,,
2008-08-25,1219636800000,24.65,20.97,2.4175,23.88226840091628,0.330895562137318,-0.330895562137318,-100.0,0.3194697281457604,1.2991302718542368,406.652072919253,,,,0.0005171347522355749,-0.0005171347522355749,-100.0,2.4529487173615223,1.6306512826384747,66.4771860535454,,,
2008-08-26,1219723200000,24.8057,20.49,2.4275,22.280356229857173,0.3110661596537501,-0.3110661596537501,-100.0,0.299520604702586,1.6232793952974165,541.9591740305408,,,,0.00023565167885545787,-0.00023565167885545787,-100.0,2.4681055412325708,1.9352644587674317,78.41092799463351,,,
2008-08-27,1219809600000,24.9528,19.76,2.44,22.73944633876488,0.31926665949310085,-0.31926665949310085,-100.0,0.3075928479349095,2.085207152065092,677.9114553750443,,,,0.00030201793666482374,-0.00030201793666482374,-100.0,2.4827408252226526,2.4053391747773496,96.88241117804306,,,
2008-08-28,1219896000000,24.82,19.43,2.415,21.959842295081387,0.3068227662211509,-0.3068227662211509,-100.0,0.2953300278614108,2.856069972138588,967.0774058501263,,,,0.00019752526405670406,-0.00019752526405670406,-100.0,2.469555513068346,3.1638444869316515,128.11392455805426,,,
2008-08-29,1219982400000,24.2186,20.65,2.40625,24.11325582656593,0.3281677071877063,-0.3281677071877063,-100.0,0.3169940651741143,2.2430059348258844,707.586097422321,,,,0.0005631654628054789,-0.0005631654628054789,-100.0,2.410132159247855,2.5717278407521458,106.70484732068476,,,
2008-09-02,1220328000000,23.7414,21.99,2.395,25.672878492041697,0.34212328034002226,-0.34212328034002226,-100.0,0.3312210015550345,1.6030789984449658,483.9907466370618,,,,0.0010416377590230924,-0.0010416377590230924,-100.0,2.363189131095534,1.9452508689044663,82.31465028796406,,,
2008-09-03,1220414400000,23.8514,21.43,2.39375,22.856611356012827,0.30661200682858336,-0.30661200682858336,-100.0,0.2956649301640404,2.2786350698359605,770.6815510962804,,,,0.0003061532808570147,-0.0003061532808570147,-100.0,2.3734043689498563,2.5860356310501444,108.95891424495731,,,
2008-09-04,1220500800000,23.0314,24.03,2.39,26.618953805858933,0.3439133211214358,-0.3439133211214358,-100.0,0.3333591559251676,2.6466408440748332,793.930749173408,,,,0.001419237801798201,-0.001419237801798201,-100.0,2.2929496560859093,2.9901903439140938,130.40802426593098,,,
