Datetime,Price,Timestamp,VIX,5-Day-LIBOR,5-Day-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Calls.1,100-Calls-P.1,100-Calls-ROI.1,100-Straddles,100-Straddles-P,100-Straddles-ROI
2008-07-30,22.84,1217390400000,21.21,2.3975,,,,,,,,,,,,,
2008-07-31,22.7071,1217476800000,22.94,2.345,,,,,,,,,,,,,
2008-08-01,22.38,1217563200000,22.57,2.3408366666666667,,,,,,,,,,,,,
2008-08-04,21.89,1217822400000,23.49,2.3504166666666664,,,,,,,,,,,,,
2008-08-05,22.9486,1217908800000,21.14,2.335,,,,,,,,,,,,,
2008-08-06,23.4557,1217995200000,20.23,2.34125,,,,,,,,,,,,,
2008-08-07,23.3671,1218081600000,21.15,2.3254166666666665,45.31097910229429,0.4979689254873456,1.7520310745126544,351.83542282241797,0.4905265159009602,-0.4905265159009602,-100.0,,,,0.9884954413883058,1.2615045586116942,127.61865212448092
2008-08-08,24.2214,1218168000000,20.66,2.327916666666667,45.259599812838154,0.5155979497656258,0.36870205023437386,71.50960363631663,0.5078751537026918,-0.5078751537026918,-100.0,,,,1.0234731034683175,-0.1391731034683179,-13.598120262925514
2008-08-11,24.7943,1218427200000,20.12,2.325,30.26623901421892,0.35428367179070364,-0.09288367179070177,-26.217316570427126,0.3463881144718819,-0.3463881144718819,-100.0,,,,0.7006717862625855,-0.4392717862625837,-62.69294623745005
2008-08-12,25.2471,1218513600000,21.17,2.32917,22.90952850545249,0.2740649954071728,-0.2740649954071728,-100.0,0.2660108299759454,0.19108917002405512,71.83510913496822,,,,0.5400758253831182,-0.08297582538311765,-15.363736253933675
2008-08-13,25.6143,1218600000000,21.55,2.3245866666666664,22.95051248719236,0.278533046756138,-0.278533046756138,-100.0,0.270377816484471,0.22392218351552806,82.81825277939875,,,,0.548910863240609,-0.05461086324060993,-9.948949255295
2008-08-14,25.6171,1218686400000,20.34,2.3495866666666667,20.722326048528377,0.2519638572471852,-0.2519638572471852,-100.0,0.24372003378275764,0.4747799662172447,194.80547366099773,,,,0.4956838910299428,0.22281610897005955,44.95125078749026
2008-08-15,25.1057,1218772800000,19.58,2.3270833333333334,27.85960953879825,0.3305348538404065,-0.18053485384040435,-54.619006662326974,0.32253297096056066,-0.32253297096056066,-100.0,,,,0.6530678248009671,-0.503067824800965,-77.03148213652739
2008-08-18,25.0557,1219032000000,20.98,2.317503333333333,24.13554276012125,0.2863060628325389,-0.2863060628325389,-100.0,0.27835298719668344,0.1273470128033196,45.75018723019365,,,,0.5646590500292223,-0.15895905002921928,-28.15133309578458
2008-08-19,24.79,1219118400000,21.28,2.2845833333333334,20.48382523570339,0.2409584634194389,-0.22525846341943634,-93.48435420063524,0.2332014826472921,-0.2332014826472921,-100.0,,,,0.474159946066731,-0.4584599460667285,-96.68888101362468
2008-08-20,25.12,1219204800000,20.42,2.3091666666666666,19.814661083631037,0.2363621157213771,-0.2363621157213771,-100.0,0.22841730842809405,-0.06121730842809293,-26.80064345796465,,,,0.46477942414947115,-0.29757942414947003,-64.02594622040964
2008-08-21,24.8986,1219291200000,19.82,2.310833333333333,19.694113209600804,0.2328807173131349,-0.2328807173131349,-100.0,0.22500025030902115,-0.14640025030902315,-65.06670552941753,,,,0.457880967622156,-0.379280967622158,-82.8339665638038
2008-08-22,25.2557,1219377600000,18.81,2.310833333333333,18.892760004211787,0.22677375446678386,-0.22677375446678386,-100.0,0.21878026445065046,0.8183197355493519,374.037273244972,,,,0.4455540189174343,0.5915459810825681,132.7663888028328
2008-08-25,24.65,1219636800000,20.97,2.331666666666667,26.39259546267411,0.30766365286253183,-0.30766365286253183,-100.0,0.29979154255073226,0.6088084574492676,203.0772623768204,,,,0.6074551954132641,0.30114480458673576,49.57481751092125
2008-08-26,24.8057,1219723200000,20.49,2.3433333333333333,26.14325137683577,0.3067396727371996,-0.3067396727371996,-100.0,0.2987782076708481,0.6555217923291519,219.4008048442789,,,,0.6055178804080477,0.34878211959195227,57.60063094369967
2008-08-27,24.9528,1219809600000,19.76,2.33125,24.28484629854793,0.2868926719197109,-0.2868926719197109,-100.0,0.2789252845882242,1.6424747154117745,588.8583094345679,,,,0.5658179565079351,1.3555820434920633,239.57918406448675
2008-08-28,24.82,1219896000000,19.43,2.35375,23.72086369021453,0.2788700312528025,-0.2788700312528025,-100.0,0.2708685712835201,1.6662314287164808,615.1438761687948,,,,0.5497386025363227,1.3873613974636783,252.36746902306385
2008-08-29,24.2186,1219982400000,20.65,2.34625,24.36593219986087,0.27939273216130545,-0.27939273216130545,-100.0,0.2716100253567824,1.3869899746432175,510.6549262389305,,,,0.5510027575180878,1.107597242481912,201.01482748850904
2008-09-02,23.7414,1220328000000,21.99,2.319583333333333,22.710525865459946,0.2554992571738932,-0.2554992571738932,-100.0,0.2479565986294805,1.8248434013705168,735.9527479635118,,,,0.5034558558033737,1.5693441441966236,311.7143491542853
2008-09-03,23.8514,1220414400000,21.43,2.314166666666667,22.091991207577987,0.2497878713107777,-0.2497878713107777,-100.0,0.24222795803386,1.9505720419661416,805.2629670822224,,,,0.4920158293446377,1.7007841706553641,345.6767179464122
2008-09-04,23.0314,1220500800000,24.03,2.3016666666666667,24.940735900300588,0.2718061551386679,-0.2718061551386679,-100.0,0.2645455730143329,0.9597544269856702,362.79360718452523,,,,0.5363517281530008,0.6879482718470022,128.26438990250753
