Datetime,Price,Timestamp,VIX,2-Month-LIBOR,2-Month-VM,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,103-Calls,103-Calls-P,103-Calls-ROI
2008-07-30,22.84,1217390400000,21.21,2.6625,,,,,,,,,,
2008-07-31,22.7071,1217476800000,22.94,2.66188,,,,,,,,,,
2008-08-01,22.38,1217563200000,22.57,2.66438,,,,,,,,,,
2008-08-04,21.89,1217822400000,23.49,2.66813,,,,,,,,,,
2008-08-05,22.9486,1217908800000,21.14,2.66875,,,,,,,,,,
2008-08-06,23.4557,1217995200000,20.23,2.66938,,,,,,,,,,
2008-08-07,23.3671,1218081600000,21.15,2.66938,,,,,,,,,,
2008-08-08,24.2214,1218168000000,20.66,2.67125,,,,,,,,,,
2008-08-11,24.7943,1218427200000,20.12,2.67375,,,,,,,,,,
2008-08-12,25.2471,1218513600000,21.17,2.67313,,,,,,,,,,
2008-08-13,25.6143,1218600000000,21.55,2.67563,,,,,,,,,,
2008-08-14,25.6171,1218686400000,20.34,2.67688,,,,,,,,,,
2008-08-15,25.1057,1218772800000,19.58,2.68063,,,,,,,,,,
2008-08-18,25.0557,1219032000000,20.98,2.68063,,,,,,,,,,
2008-08-19,24.79,1219118400000,21.28,2.68125,,,,,,,,,,
2008-08-20,25.12,1219204800000,20.42,2.6825,,,,,,,,,,
2008-08-21,24.8986,1219291200000,19.82,2.68188,,,,,,,,,,
2008-08-22,25.2557,1219377600000,18.81,2.68188,,,,,,,,,,
2008-08-25,24.65,1219636800000,20.97,2.68,,,,,,,,,,
2008-08-26,24.8057,1219723200000,20.49,2.68,,,,,,,,,,
2008-08-27,24.9528,1219809600000,19.76,2.68063,,,,,,,,,,
2008-08-28,24.82,1219896000000,19.43,2.68063,,,,,,,,,,
2008-08-29,24.2186,1219982400000,20.65,2.68063,,,,,,,,,,
2008-09-02,23.7414,1220328000000,21.99,2.68313,,,,,,,,,,
2008-09-03,23.8514,1220414400000,21.43,2.685,,,,,,,,,,
2008-09-04,23.0314,1220500800000,24.03,2.68438,,,,,,,,,,
2008-09-05,22.8829,1220587200000,23.06,2.68438,,,,,,,,,,
2008-09-08,22.56,1220846400000,22.64,2.68813,,,,,,,,,,
2008-09-09,21.6686,1220932800000,25.47,2.68938,,,,,,,,,,
2008-09-10,21.6586,1221019200000,24.52,2.68688,,,,,,,,,,
2008-09-11,21.8071,1221105600000,24.39,2.68688,,,,,,,,,,
2008-09-12,21.2771,1221192000000,25.66,2.68625,,,,,,,,,,
2008-09-15,20.0514,1221451200000,31.7,2.80375,,,,,,,,,,
2008-09-16,19.9829,1221537600000,30.3,3.04875,,,,,,,,,,
2008-09-17,18.2614,1221624000000,36.22,3.1925,,,,,,,,,,
2008-09-18,19.1557,1221710400000,33.1,3.2025,,,,,,,,,,
2008-09-19,20.13,1221796800000,32.07,3.175,,,,,,,,,,
2008-09-22,18.7214,1222056000000,33.85,3.20313,,,,,,,,,,
2008-09-23,18.12,1222142400000,35.72,3.46125,,,,,,,,,,
2008-09-24,18.3871,1222228800000,35.19,3.73125,,,,,,,,,,
2008-09-25,18.8471,1222315200000,32.82,3.7225,,,,,,,,,,
2008-09-26,18.32,1222401600000,34.74,3.75,,,,,,,,,,
2008-09-29,15.0371,1222660800000,46.72,3.96625,,,,,,,,,,
2008-09-30,16.2371,1222747200000,39.39,4.05375,,,,,,,,,,
2008-10-01,15.5886,1222833600000,39.81,4.10625,,,,,,,,,,
2008-10-02,14.3,1222920000000,45.26,4.20625,,,,,,,,,,
2008-10-03,13.8671,1223006400000,45.14,4.17375,,,,,,,,,,
2008-10-06,14.02,1223265600000,52.05,4.20125,,,,,,,,,,
2008-10-07,12.7371,1223352000000,53.68,4.38125,,,,,,,,,,
2008-10-08,12.8271,1223438400000,57.53,4.585,,,,,,,,,,
2008-10-09,12.6771,1223524800000,63.92,4.6825,,,,,,,,,,
2008-10-10,13.8286,1223611200000,69.95,4.6375,,,,,,,,,,
2008-10-13,15.7514,1223870400000,54.99,4.55625,,,,,,,,,,
2008-10-14,14.8686,1223956800000,55.13,4.465,,,,,,,,,,
2008-10-15,13.9929,1224043200000,69.25,4.4,,,,,,,,,,
2008-10-16,14.5557,1224129600000,67.61,4.30625,,,,,,,,,,
2008-10-17,13.9143,1224216000000,70.33,3.93375,,,,,,,,,,
2008-10-20,14.0629,1224475200000,52.97,3.6975,,,,,,,,,,
2008-10-21,13.07,1224561600000,53.11,3.38375,,,,,,,,,,
2008-10-22,13.8386,1224648000000,69.65,3.38625,,,,,,,,,,
2008-10-23,14.0329,1224734400000,67.8,3.37875,,,,,,,,,,
2008-10-24,13.7686,1224820800000,79.13,3.365,77.67899748852109,1.581387062044569,-1.581387062044569,-100.0,1.9162156863157056,-0.3574576863157066,-18.654355502275838,,,
2008-10-27,13.1557,1225080000000,80.06,3.27375,78.04365811486218,1.5179030091589558,-1.5179030091589558,-100.0,1.839848456855264,-0.9123774568552632,-49.58981558811274,,,
2008-10-28,14.2729,1225166400000,66.96,3.14125,80.15229445960532,1.6940163078429826,-1.6940163078429826,-100.0,2.0464869814252964,-0.1510999814252969,-7.38338346623939,,,
2008-10-29,14.9357,1225252800000,69.96,2.96625,80.09999982748681,1.7696363324832498,-1.7696363324832498,-100.0,2.1428782262592225,0.2794927737407793,13.042867780157714,,,
2008-10-30,15.8629,1225339200000,62.9,2.76,81.07379064387538,1.9021497047562093,-1.9021497047562093,-100.0,2.3040757587248404,0.5776112412751591,25.06910803986889,,,
2008-10-31,15.37,1225425600000,59.89,2.60625,81.23352395579236,1.845388327543981,-1.845388327543981,-100.0,2.2388090724133107,0.3065909275866883,13.694375789544234,,,
2008-11-03,15.28,1225688400000,53.68,2.4125,80.74111107753012,1.8204387861496392,-1.8204387861496392,-100.0,2.2165477694959077,0.6461522305040912,29.15128829599015,,,
2008-11-04,15.8557,1225774800000,47.73,2.24875,81.01235127934686,1.8941876274924951,-1.8941876274924951,-100.0,2.309599928174189,0.9488710718258117,41.083785128791725,,,
2008-11-05,14.7571,1225861200000,54.56,2.15875,81.89171020847627,1.7829508564713406,-1.7829508564713406,-100.0,2.171820932796436,-0.25490793279643675,-11.737060314094007,,,
2008-11-06,14.1571,1225947600000,63.68,2.10375,82.01179450994074,1.7126682019700876,-1.7126682019700876,-100.0,2.08704119016858,-0.8695281901685794,-41.66320215742093,,,
2008-11-07,14.0343,1226034000000,56.1,2.04625,81.98581324598088,1.6966757073482794,-1.6966757073482794,-100.0,2.069163022560716,-1.3938340225607158,-67.36221396590403,,,
2008-11-10,13.6971,1226293200000,59.98,2.01625,82.0121715494908,1.6562120957147473,-1.5185250957147476,-91.68663238505209,2.020443133038924,-2.020443133038924,-100.0,,,
