Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,100-Calls,100-Calls-P,100-Calls-ROI,100-Puts,100-Puts-P,100-Puts-ROI,100-Straps,100-Straps-P,100-Straps-ROI,105-Calls,105-Calls-P,105-Calls-ROI,105-Puts,105-Puts-P,105-Puts-ROI,105-Straps,105-Straps-P,105-Straps-ROI
2008-07-30,1217390400000,22.84,21.21,2.46375,,,,,,,,,,,,,,,,,,,
2008-07-31,1217476800000,22.7071,22.94,2.46125,,,,,,,,,,,,,,,,,,,
2008-08-01,1217563200000,22.38,22.57,2.46,,,,,,,,,,,,,,,,,,,
2008-08-04,1217822400000,21.89,23.49,2.46125,,,,,,,,,,,,,,,,,,,
2008-08-05,1217908800000,22.9486,21.14,2.4625,,,,,,,,,,,,,,,,,,,
2008-08-06,1217995200000,23.4557,20.23,2.46188,,,,,,,,,,,,,,,,,,,
2008-08-07,1218081600000,23.3671,21.15,2.46313,,,,,,,,,,,,,,,,,,,
2008-08-08,1218168000000,24.2214,20.66,2.46063,,,,,,,,,,,,,,,,,,,
2008-08-11,1218427200000,24.7943,20.12,2.46375,,,,,,,,,,,,,,,,,,,
2008-08-12,1218513600000,25.2471,21.17,2.46375,,,,,,,,,,,,,,,,,,,
2008-08-13,1218600000000,25.6143,21.55,2.4668799999999997,,,,,,,,,,,,,,,,,,,
2008-08-14,1218686400000,25.6171,20.34,2.46563,,,,,,,,,,,,,,,,,,,
2008-08-15,1218772800000,25.1057,19.58,2.46563,,,,,,,,,,,,,,,,,,,
2008-08-18,1219032000000,25.0557,20.98,2.47063,,,,,,,,,,,,,,,,,,,
2008-08-19,1219118400000,24.79,21.28,2.47125,,,,,,,,,,,,,,,,,,,
2008-08-20,1219204800000,25.12,20.42,2.47188,,,,,,,,,,,,,,,,,,,
2008-08-21,1219291200000,24.8986,19.82,2.47188,,,,,,,,,,,,,,,,,,,
2008-08-22,1219377600000,25.2557,18.81,2.47188,,,,,,,,,,,,,,,,,,,
2008-08-25,1219636800000,24.65,20.97,2.47188,,,,,,,,,,,,,,,,,,,
2008-08-26,1219723200000,24.8057,20.49,2.47,,,,,,,,,,,,,,,,,,,
2008-08-27,1219809600000,24.9528,19.76,2.46875,,,,,,,,,,,,,,,,,,,
2008-08-28,1219896000000,24.82,19.43,2.48625,,,,,,,,,,,,,,,,,,,
2008-08-29,1219982400000,24.2186,20.65,2.48563,,,,,,,,,,,,,,,,,,,
2008-09-02,1220328000000,23.7414,21.99,2.48563,,,,,,,,,,,,,,,,,,,
2008-09-03,1220414400000,23.8514,21.43,2.48563,,,,,,,,,,,,,,,,,,,
2008-09-04,1220500800000,23.0314,24.03,2.4875,,,,,,,,,,,,,,,,,,,
2008-09-05,1220587200000,22.8829,23.06,2.4868799999999998,,,,,,,,,,,,,,,,,,,
2008-09-08,1220846400000,22.56,22.64,2.4868799999999998,,,,,,,,,,,,,,,,,,,
2008-09-09,1220932800000,21.6686,25.47,2.48813,,,,,,,,,,,,,,,,,,,
2008-09-10,1221019200000,21.6586,24.52,2.48875,,,,,,,,,,,,,,,,,,,
2008-09-11,1221105600000,21.8071,24.39,2.4868799999999998,,,,,,,,,,,,,,,,,,,
2008-09-12,1221192000000,21.2771,25.66,2.48813,32.41375225652616,0.8096338056753449,-0.8096338056753449,-100.0,0.7661657821044017,6.7423342178956,880.00983277753,2.3854333934550915,5.12306660654491,214.76460506510293,0.3982287747118969,-0.3982287747118969,-100.0,1.416442349962402,7.1559126500376,505.20324037385245,2.212899899386196,6.359455100613806,287.3810560693578
2008-09-15,1221451200000,20.0514,31.7,2.49688,36.27053636037893,0.8512963848285118,-0.8512963848285118,-100.0,0.8101884933143246,6.085511506685678,751.1229247148433,2.512781262971348,4.382918737028653,174.42500075975101,0.4561002047781457,-0.4561002047781457,-100.0,1.4155069186882514,6.482763081311753,457.98173048276743,2.327707328244543,5.570562671755461,239.31542441620186
2008-09-16,1221537600000,19.9829,30.3,2.7475,35.84523115366489,0.8406965014716691,-0.8406965014716691,-100.0,0.7956216470634399,4.914378352936562,617.6778084250273,2.4770146500067782,3.232985349993223,130.51942789213527,0.4468933974771448,-0.4468933974771448,-100.0,1.3987098003485077,5.310435199651495,379.66668985434484,2.292496595302797,4.416648404697206,192.65670508504493
2008-09-17,1221624000000,18.2614,36.22,3.03,40.855492461576816,0.8746688748181679,-0.8746688748181679,-100.0,0.8292470670931618,2.496452932906836,301.05055923295436,2.5785848167294976,0.7471151832705001,28.973845592486292,0.507585351866374,-0.507585351866374,-100.0,1.3729624537551182,2.8658075462448807,208.73167641305562,2.388133157487866,1.8506368425121327,77.49303411786558
2008-09-18,1221710400000,19.1557,33.1,3.1875,43.11257566459196,0.9679883540440972,-0.9679883540440972,-100.0,0.9178687260594972,2.3749312739405024,258.74411084211584,2.8538454341476918,0.43895456585230797,15.381161172921155,0.580215811794786,-0.580215811794786,-100.0,1.4853752024109532,2.765209797589048,186.1623779029541,2.645806826000525,1.6047781739994758,60.65364100769605
2008-09-19,1221796800000,20.13,32.07,3.19,46.1053935790606,1.0859015791049558,-1.0859015791049558,-100.0,1.0331915045631366,3.726808495436863,360.7083951984938,3.204994662773048,1.5550053372269517,48.51818804220781,0.6756670925029491,-0.6756670925029491,-100.0,1.626821514234038,4.139678485765963,254.46420824567608,2.9781556992399363,2.788344300760066,93.62654549833265
2008-09-22,1222056000000,18.7214,33.85,3.17625,48.40678714667064,1.0589056641515882,-1.0589056641515882,-100.0,1.0100950102319644,2.4313049897680354,240.70062371753482,3.1279063385351407,0.31349366146485913,10.022475980264623,0.6757844222496779,-0.6757844222496779,-100.0,1.560603235634078,2.816866764365922,180.4985854217726,2.912172080133434,1.4652979198665665,50.31632333345588
2008-09-23,1222142400000,18.12,35.72,3.20688,47.91318912751757,1.0149181739935944,-1.0149181739935944,-100.0,0.9672205150883056,1.2970794849116951,134.10380204696898,2.9970568630754943,-0.7327568630754939,-24.44921456456985,0.6443640797564063,-0.6443640797564063,-100.0,1.5002815379058525,1.6700184620941505,111.31367146097277,2.789009697418665,0.38129030258133767,13.671171632505846
2008-09-24,1222228800000,18.3871,35.19,3.42875,47.74401982864186,1.0279420233882188,-1.0279420233882188,-100.0,0.9761973513170634,2.6538026486829374,271.85103965939743,3.032081398093501,0.5979186019064997,19.719741108614574,0.6516337565936077,-0.6516337565936077,-100.0,1.5166568509188938,3.0326981490811065,199.95941384128463,2.819924364106109,1.7294306358938911,61.32897243299308
2008-09-25,1222315200000,18.8471,32.82,3.70875,48.30102092309912,1.06769702684414,-1.06769702684414,-100.0,1.0103331195404068,3.679666880459593,364.2033314847134,3.1457271732286864,1.5442728267713148,49.09112398283149,0.6810922891251483,-0.6810922891251483,-100.0,1.5632151864562296,4.0691398135437735,260.3058010694237,2.925399764706526,2.7069552352934743,92.53283151080836
2008-09-26,1222401600000,18.32,34.74,3.70375,48.47627366680555,1.0414572753632854,-1.0414572753632854,-100.0,0.9857727327321052,3.2999272672678948,334.7553810016662,3.0686872834586763,1.2170127165413245,39.65906604760475,0.6655665902346257,-0.6655665902346257,-100.0,1.5230978204718861,3.6786021795281143,241.52107173184783,2.8542310009411374,2.3474689990588633,82.24523517139372
