Datetime,Price,Timestamp,VIX,9-Month-LIBOR,9-Month-VM,96-Calls,96-Calls-P,96-Calls-ROI,96-Puts,96-Puts-P,96-Puts-ROI,93-Calls,93-Calls-P,93-Calls-ROI,93-Puts,93-Puts-P,93-Puts-ROI,99-Calls,99-Calls-P,99-Calls-ROI,99-Puts,99-Puts-P,99-Puts-ROI,96-Strangles,96-Strangles-P,96-Strangles-ROI
2010-06-29,23.889999,1277784000000,34.13,0.9571308108108108,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,23.83,1277870400000,34.54,0.9563605405405404,,,,,,,,,,,,,,,,,,,,,,
2010-07-01,21.959999,1277956800000,32.86,0.9552697297297298,,,,,,,,,,,,,,,,,,,,,,
2010-07-02,19.200001,1278043200000,30.12,0.9479151351351351,,,,,,,,,,,,,,,,,,,,,,
2010-07-06,16.110001,1278388800000,29.65,0.9471,,,,,,,,,,,,,,,,,,,,,,
2010-07-07,15.8,1278475200000,26.84,0.9464918918918921,,,,,,,,,,,,,,,,,,,,,,
2010-07-08,17.459999,1278561600000,25.71,0.9401472972972972,,,,,,,,,,,,,,,,,,,,,,
2010-07-09,17.4,1278648000000,24.98,0.9341381081081082,,,,,,,,,,,,,,,,,,,,,,
2010-07-12,17.049999,1278907200000,24.43,0.9321208108108108,,,,,,,,,,,,,,,,,,,,,,
2010-07-13,18.139999,1278993600000,24.56,0.9334991891891892,,,,,,,,,,,,,,,,,,,,,,
2010-07-14,19.84,1279080000000,24.89,0.9304386486486488,,,,,,,,,,,,,,,,,,,,,,
2010-07-15,19.889999,1279166400000,25.14,0.9263572972972972,,,,,,,,,,,,,,,,,,,,,,
2010-07-16,20.639999,1279252800000,26.25,0.9213102702702703,,,,,,,,,,,,,,,,,,,,,,
2010-07-19,21.91,1279512000000,25.97,0.9119608108108108,,,,,,,,,,,,,,,,,,,,,,
2010-07-20,20.299999,1279598400000,23.93,0.9010962162162164,,,,,,,,,,,,,,,,,,,,,,
2010-07-21,20.219998999999998,1279684800000,25.64,0.889864054054054,,,,,,,,,,,,,,,,,,,,,,
2010-07-22,21.0,1279771200000,24.63,0.8852500000000001,,,,,,,,,,,,,,,,,,,,,,
2010-07-23,21.290001,1279857600000,23.47,0.8807410810810811,,,,,,,,,,,,,,,,,,,,,,
2010-07-26,20.950001,1280116800000,22.73,0.8838294594594595,,,,,,,,,,,,,,,,,,,,,,
2010-07-27,20.549999,1280203200000,23.19,0.8793597297297296,,,,,,,,,,,,,,,,,,,,,,
2010-07-28,20.719998999999998,1280289600000,24.25,0.871072972972973,,,,,,,,,,,,,,,,,,,,,,
2010-07-29,20.35,1280376000000,24.13,0.8590278378378379,,,,,,,,,,,,,,,,,,,,,,
2010-07-30,19.940001000000002,1280462400000,23.5,0.8472651351351351,,,,,,,,,,,,,,,,,,,,,,
2010-08-02,20.92,1280721600000,22.01,0.8398475675675675,,,,,,,,,,,,,,,,,,,,,,
2010-08-03,21.950001,1280808000000,22.63,0.8273708108108109,,,,,,,,,,,,,,,,,,,,,,
2010-08-04,21.26,1280894400000,22.21,0.8150262162162163,,,,,,,,,,,,,,,,,,,,,,
2010-08-05,20.450001,1280980800000,22.1,0.8193048648648649,,,,,,,,,,,,,,,,,,,,,,
2010-08-06,19.59,1281067200000,21.74,0.8134483783783785,,,,,,,,,,,,,,,,,,,,,,
2010-08-09,19.6,1281326400000,22.14,0.8062837837837837,,,,,,,,,,,,,,,,,,,,,,
2010-08-10,19.030001000000002,1281412800000,22.37,0.8019835135135136,,,,,,,,,,,,,,,,,,,,,,
2010-08-11,17.9,1281499200000,25.39,0.7816486486486487,,,,,,,,,,,,,,,,,,,,,,
2010-08-12,17.6,1281585600000,25.73,0.7735486486486487,,,,,,,,,,,,,,,,,,,,,,
2010-08-13,18.32,1281672000000,26.24,0.769075945945946,,,,,,,,,,,,,,,,,,,,,,
2010-08-16,18.780001000000002,1281931200000,26.1,0.7563491891891891,,,,,,,,,,,,,,,,,,,,,,
2010-08-17,19.15,1282017600000,24.33,0.7447913513513513,,,,,,,,,,,,,,,,,,,,,,
2010-08-18,18.77,1282104000000,24.59,0.7326562162162162,,,,,,,,,,,,,,,,,,,,,,
2010-08-19,18.790001,1282190400000,26.44,0.72113,,,,,,,,,,,,,,,,,,,,,,
2010-08-20,19.1,1282276800000,25.49,0.7091283783783784,,,,,,,,,,,,,,,,,,,,,,
2010-08-23,20.129998999999998,1282536000000,25.66,0.6922921621621623,,,,,,,,,,,,,,,,,,,,,,
2010-08-24,19.200001,1282622400000,27.46,0.685777027027027,,,,,,,,,,,,,,,,,,,,,,
2010-08-25,19.9,1282708800000,26.7,0.6814413513513513,,,,,,,,,,,,,,,,,,,,,,
2010-08-26,19.75,1282795200000,27.37,0.675951081081081,,,,,,,,,,,,,,,,,,,,,,
2010-08-27,19.700001,1282881600000,24.45,0.675951081081081,,,,,,,,,,,,,,,,,,,,,,
2010-08-30,19.870001000000002,1283140800000,27.21,0.6651943243243243,,,,,,,,,,,,,,,,,,,,,,
2010-08-31,19.48,1283227200000,26.05,0.6634213513513514,,,,,,,,,,,,,,,,,,,,,,
