Datetime,Timestamp,Price,VIX-Close,10-Day-LIBOR,10-Day-VM,100-Calls,100-Puts
2008-07-30,1217390400000,22.84,21.21,2.45668913,,,
2008-07-31,1217476800000,22.7071,22.94,2.4384239130000003,,,
2008-08-01,1217563200000,22.38,22.57,2.419782609,,,
2008-08-04,1217822400000,21.89,23.49,2.417232609,,,
2008-08-05,1217908800000,22.9486,21.14,2.4222826090000003,,,
2008-08-06,1217995200000,23.4557,20.23,2.413506087,,,
2008-08-07,1218081600000,23.3671,21.15,2.421277826,,,
2008-08-08,1218168000000,24.2214,20.66,2.415516957,,,
2008-08-11,1218427200000,24.7943,20.12,2.409402174,,,
2008-08-12,1218513600000,25.2471,21.17,2.407228261,,,
2008-08-13,1218600000000,25.6143,21.55,2.410358261,,,
2008-08-14,1218686400000,25.6171,20.34,2.408021304,34.863361192998376,0.5979527501242412,0.5810579066342392
2008-08-15,1218772800000,25.1057,19.58,2.406934348,36.161485396639186,0.6075147537503707,0.5909646573192049
2008-08-18,1219032000000,25.0557,20.98,2.4048647830000003,32.101933099036934,0.5391855467044877,0.5226826084313849
2008-08-19,1219118400000,24.79,21.28,2.402232609,27.96220302928838,0.4657421527363663,0.44943208316438543
2008-08-20,1219204800000,25.12,20.42,2.390897391,27.06134295756398,0.4569705407159219,0.44052131438470354
2008-08-21,1219291200000,24.8986,19.82,2.421332174,27.730617070226455,0.46404218818316956,0.4475304652039025
2008-08-22,1219377600000,25.2557,18.81,2.424593043,22.992000261465815,0.3917355844246284,0.374964499291206
2008-08-25,1219636800000,24.65,20.97,2.424593043,24.261383909667572,0.40298896598718237,0.38662009683927323
2008-08-26,1219723200000,24.8057,20.49,2.433043478,22.36634986964156,0.3745430467274744,0.3580133931150815
2008-08-27,1219809600000,24.9528,19.76,2.44375,21.004863101950214,0.35438224011944897,0.33768141918592676
2008-08-28,1219896000000,24.82,19.43,2.424293478,20.984871017343654,0.35210255597526086,0.3356228337639937
2008-08-29,1219982400000,24.2186,20.65,2.4166039130000003,22.061629308536716,0.3607539259365655,0.34472450319484693
2008-09-02,1220328000000,23.7414,21.99,2.406821304,23.482736891512776,0.37587824106513956,0.36022824877211157
2008-09-03,1220414400000,23.8514,21.43,2.405734348,23.773371949236626,0.38219067660341643,0.36647527205354
2008-09-04,1220500800000,23.0314,24.03,2.402717391,26.26079343577057,0.40684603968711563,0.39168994779159405
2008-09-05,1220587200000,22.8829,23.06,2.392853913,26.28367975687787,0.4045376618321921,0.38954108853333835
2008-09-08,1220846400000,22.56,22.64,2.39014087,23.096042099774966,0.3513658278725167,0.33659762867723764
2008-09-09,1220932800000,21.6686,25.47,2.379973478,26.737812479169964,0.38952609867276244,0.37540174697753237
2008-09-10,1221019200000,21.6586,24.52,2.370271739,25.56955972755544,0.3726207102473449,0.35856040824335444
2008-09-11,1221105600000,21.8071,24.39,2.36568,25.769292591282053,0.37803613426475025,0.3639068449951228
2008-09-12,1221192000000,21.2771,25.66,2.359321304,25.880390651084515,0.3703897969690786,0.3566409491347624
2008-09-15,1221451200000,20.0514,31.7,2.494158261,33.95473889047271,0.45625084753999623,0.4425537840640388
2008-09-16,1221537600000,19.9829,30.3,3.727934783,34.813145519599956,0.46934662868177845,0.4489474730265144
2008-09-17,1221624000000,18.2614,36.22,4.194130435,48.09522549206114,0.5900223173509822,0.5690506170551117
2008-09-18,1221710400000,19.1557,33.1,4.1875,60.4711489863691,0.7751838106778965,0.7532198386531324
2008-09-19,1221796800000,20.13,32.07,3.747608696,69.46069805678192,0.9326917161562829,0.9120340043983557
2008-09-22,1222056000000,18.7214,33.85,3.745815217,75.68215297288404,0.9441531418824667,0.9249501464261218
2008-09-23,1222142400000,18.12,35.72,3.76068,75.16396405031023,0.9076739456225535,0.8890141021363167
2008-09-24,1222228800000,18.3871,35.19,3.871141304,76.5135106450244,0.9376638256514873,0.9181730503557191
2008-09-25,1222315200000,18.8471,32.82,3.96201087,78.5314493566532,0.9863938529001111,0.9659467564807205
2008-09-26,1222401600000,18.32,34.74,3.934184783,78.68832907245749,0.9606333333784356,0.9408975974238007
2008-09-29,1222660800000,15.0371,46.72,3.871086957,120.13747257393484,1.1982988486991344,1.1823593789207933
2008-09-30,1222747200000,16.2371,39.39,4.207771739,131.12087378891766,1.4116768778935782,1.3929693041015296
2008-10-01,1222833600000,15.5886,39.81,4.136195652,126.05839415332997,1.303368067033209,1.2857130039517894
2008-10-02,1222920000000,14.3,45.26,4.0656521739999985,125.07323137485916,1.1862533446510577,1.1703337670215612
2008-10-03,1223006400000,13.8671,45.14,4.05673913,117.14325313906072,1.078117683863951,1.0627138600955757
2008-10-06,1223265600000,14.02,52.05,3.957717391,117.60237163808833,1.0940570646943062,1.0788633315060103
2008-10-07,1223352000000,12.7371,53.68,4.165,122.36371649369437,1.0341063486483373,1.0195803855171892
2008-10-08,1223438400000,12.8271,57.53,4.489402173999999,121.55380999772443,1.0351185130008744,1.0193512224484094
2008-10-09,1223524800000,12.6771,63.92,4.729891304,117.77263680632429,0.9919228811472784,0.9755057657831916
2008-10-10,1223611200000,13.8286,69.95,4.674456522,133.97755460962398,1.2290012567228388,1.2113026772678417
2008-10-13,1223870400000,15.7514,54.99,4.573043478,118.03266295885363,1.2348487384493998,1.2151263461359862
2008-10-14,1223956800000,14.8686,55.13,4.1263586960000005,114.26222979155132,1.127971310496802,1.1111717187691426
2008-10-15,1224043200000,13.9929,69.25,3.894619565,116.24517630173953,1.079355279394676,1.0644325512388448
2008-10-16,1224129600000,14.5557,67.61,3.5579347830000003,110.37052961707991,1.0659563471381528,1.0517747037022733
2008-10-17,1224216000000,13.9143,70.33,3.289945652,111.77739958849237,1.0313754722037336,1.0188393992753957
2008-10-20,1224475200000,14.0629,52.97,2.8534239130000003,111.76840923537634,1.0415257881814224,1.0305362719542774
2008-10-21,1224561600000,13.07,53.11,2.579673913,106.75347853548288,0.9244449416259517,0.9152108522642477
2008-10-22,1224648000000,13.8386,69.65,2.313043478,110.24526774603905,1.0101068235739668,1.001339934996829
2008-10-23,1224734400000,14.0329,67.8,2.335923913,109.73579717269311,1.0196301412100386,1.0106522508741689
2008-10-24,1224820800000,13.7686,79.13,2.303043478,101.5639566856115,0.9263785339100465,0.9176936893642402
2008-10-27,1225080000000,13.1557,80.06,2.279619565,72.40530206234554,0.6325391059666252,0.6243252353127593
