Datetime,Timestamp,Price,VIX,1-Month-LIBOR,1-Month-VM,54-Calls,54-Calls-P,54-Calls-ROI,54-Puts,54-Puts-P,54-Puts-ROI,51-Calls,51-Calls-P,51-Calls-ROI,51-Puts,51-Puts-P,51-Puts-ROI,51-Straddles,51-Straddles-P,51-Straddles-ROI,57-Calls,57-Calls-P,57-Calls-ROI,57-Puts,57-Puts-P,57-Puts-ROI,57-Straddles,57-Straddles-P,57-Straddles-ROI,54-Strangles,54-Strangles-P,54-Strangles-ROI
2008-07-30,1217390400000,22.84,21.21,2.46375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-07-31,1217476800000,22.7071,22.94,2.46125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-01,1217563200000,22.38,22.57,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-04,1217822400000,21.89,23.49,2.46125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-05,1217908800000,22.9486,21.14,2.4625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-06,1217995200000,23.4557,20.23,2.46188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-07,1218081600000,23.3671,21.15,2.46313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-08,1218168000000,24.2214,20.66,2.46063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-11,1218427200000,24.7943,20.12,2.46375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-12,1218513600000,25.2471,21.17,2.46375,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-13,1218600000000,25.6143,21.55,2.4668799999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-14,1218686400000,25.6171,20.34,2.46563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-15,1218772800000,25.1057,19.58,2.46563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-18,1219032000000,25.0557,20.98,2.47063,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-19,1219118400000,24.79,21.28,2.47125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-20,1219204800000,25.12,20.42,2.47188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-21,1219291200000,24.8986,19.82,2.47188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-22,1219377600000,25.2557,18.81,2.47188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-25,1219636800000,24.65,20.97,2.47188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-26,1219723200000,24.8057,20.49,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-27,1219809600000,24.9528,19.76,2.46875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-28,1219896000000,24.82,19.43,2.48625,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-08-29,1219982400000,24.2186,20.65,2.48563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-02,1220328000000,23.7414,21.99,2.48563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-03,1220414400000,23.8514,21.43,2.48563,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-04,1220500800000,23.0314,24.03,2.4875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-05,1220587200000,22.8829,23.06,2.4868799999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-08,1220846400000,22.56,22.64,2.4868799999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-09,1220932800000,21.6686,25.47,2.48813,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-10,1221019200000,21.6586,24.52,2.48875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-11,1221105600000,21.8071,24.39,2.4868799999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-09-12,1221192000000,21.2771,25.66,2.48813,32.41375225652616,9.810938732731316,-7.531972732731317,-76.77117285018915,3.004999307105239e-12,-3.004999307105239e-12,-100.0,10.447947692021218,-7.530668692021218,-72.07797085136791,3.415812206049985e-14,-3.415812206049985e-14,-100.0,10.447947692021252,-7.530668692021253,-72.077970851368,9.173929773583877,-7.533276773583879,-82.11613735343579,1.4843909687642547e-10,-1.4843909687642547e-10,-100.0,9.173929773732317,-7.533276773732316,-82.11613735372515,9.173929773583911,-7.533276773583914,-82.11613735343589
2008-09-15,1221451200000,20.0514,31.7,2.49688,36.27053636037893,9.245842261754307,-6.91789826175431,-74.82172057347759,3.3664865042403564e-10,-3.3664865042403564e-10,-100.0,9.846151024681317,-6.9166650246813175,-70.2473992867196,9.080560268918326e-12,-9.080560268918326e-12,-100.0,9.846151024690398,-6.916665024690398,-70.24739928674704,8.645533506035813,-6.919131506035818,-80.03128437597607,7.872730771438414e-09,-7.872730771438414e-09,-100.0,8.645533513908543,-6.919131513908543,-80.0312843941598,8.645533506044893,-6.919131506044895,-80.03128437599703
2008-09-16,1221537600000,19.9829,30.3,2.7475,35.84523115366489,9.216474421590474,-5.734340421590474,-62.218372875394,2.100288905667802e-10,-2.100288905667802e-10,-100.0,9.814609175753409,-5.7329881757534125,-58.41280149918271,5.2143633118561816e-12,-5.2143633118561816e-12,-100.0,9.814609175758623,-5.732988175758622,-58.412801499204775,8.618339672290226,-5.735692672290227,-66.55217698986367,5.277538042689899e-09,-5.277538042689899e-09,-100.0,8.618339677567763,-5.735692677567763,-66.55217701034579,8.61833967229544,-5.735692672295441,-66.55217698988389
2008-09-17,1221624000000,18.2614,36.22,3.03,40.855492461576816,8.424771793964506,-3.3502277939645047,-39.76639220500433,1.7793000808412668e-08,-1.7793000808412668e-08,-100.0,8.971251122930955,-3.3488651229309543,-37.32885276582096,9.91201542765471e-10,-9.91201542765471e-10,-100.0,8.971251123922158,-3.348865123922156,-37.32885277274526,7.878292652517668,-3.3515906525176664,-42.54209383103582,2.221144152959536e-07,-2.221144152959536e-07,-100.0,7.878292874632082,-3.3515908746320813,-42.54209545095899,7.87829265350887,-3.35159065350887,-42.542093838264854
2008-09-18,1221710400000,19.1557,33.1,3.1875,43.11257566459196,8.838686688649819,-3.319864688649817,-37.56061059289515,8.953813197684678e-08,-8.953813197684678e-08,-100.0,9.41185401684445,-3.3183610168444484,-35.25725123770045,6.572301540089404e-09,-6.572301540089404e-09,-100.0,9.411854023416751,-3.3183610234167507,-35.25725128291034,8.265520068179129,-3.321369068179129,-40.18342512972469,8.802279072325809e-07,-8.802279072325809e-07,-100.0,8.265520948407035,-3.3213699484070336,-40.183431499827506,8.26552007475143,-3.3213690747514306,-40.183425177287646
2008-09-19,1221796800000,20.13,32.07,3.19,46.1053935790606,9.288263988124939,-4.78846398812494,-51.55391787148813,5.478723565668391e-07,-5.478723565668391e-07,-100.0,9.890582192630283,-4.786882192630282,-48.39838645895998,5.4613950506723775e-08,-5.4613950506723775e-08,-100.0,9.890582247244234,-4.786882247244233,-48.39838674389447,8.685948874018923,-4.7900488740189235,-55.14709956843904,4.131530088160695e-06,-4.131530088160695e-06,-100.0,8.685953005549013,-4.7900530055490105,-55.14712090301307,8.685948928632873,-4.790048928632874,-55.14709985045704
