Datetime,Price,Timestamp,VIX,10-Day-LIBOR,10-Day-VM,103-Calls,103-Calls-P,103-Calls-ROI,103-Puts,103-Puts-P,103-Puts-ROI,103-Straddles,103-Straddles-P,103-Straddles-ROI
2008-07-30,22.84,1217390400000,21.21,2.4384239130434784,,,,,,,,,,
2008-07-31,22.7071,1217476800000,22.94,2.419782608695652,,,,,,,,,,
2008-08-01,22.38,1217563200000,22.57,2.417232608695652,,,,,,,,,,
2008-08-04,21.89,1217822400000,23.49,2.422282608695652,,,,,,,,,,
2008-08-05,22.9486,1217908800000,21.14,2.413506086956522,,,,,,,,,,
2008-08-06,23.4557,1217995200000,20.23,2.4212778260869565,,,,,,,,,,
2008-08-07,23.3671,1218081600000,21.15,2.41551695652174,,,,,,,,,,
2008-08-08,24.2214,1218168000000,20.66,2.409402173913044,,,,,,,,,,
2008-08-11,24.7943,1218427200000,20.12,2.407228260869565,,,,,,,,,,
2008-08-12,25.2471,1218513600000,21.17,2.410358260869565,,,,,,,,,,
2008-08-13,25.6143,1218600000000,21.55,2.4080213043478262,,,,,,,,,,
2008-08-14,25.6171,1218686400000,20.34,2.4069343478260867,34.863361192998376,0.2962181831294117,-0.2962181831294117,-100.0,1.047337346689325,0.5182756533106739,49.48507326211215,1.3435555298187367,0.22205747018126587,16.52759899036137
2008-08-15,25.1057,1218772800000,19.58,2.4048647826086955,36.161485396639186,0.30963932382986403,-0.30963932382986403,-100.0,1.0457783769333204,0.5944926230666779,56.84690333816143,1.3554177007631845,0.28485329923681757,21.01590521331007
2008-08-18,25.0557,1219032000000,20.98,2.402232608695652,32.101933099036934,0.2492803922504292,-0.2492803922504292,-100.0,0.9839719643994124,1.0819990356005889,109.96238457474848,1.2332523566498415,0.8327186433501632,67.52216112623232
2008-08-19,24.79,1219118400000,21.28,2.3908973913043483,27.96220302928838,0.18861435886429145,-0.18861435886429145,-100.0,0.9155942310606732,0.7667057689393246,83.73859761557603,1.1042085899249647,0.5780914100750332,52.35346069118306
2008-08-20,25.12,1219204800000,20.42,2.421332173913044,27.061342957563983,0.1787886552788791,-0.1787886552788791,-100.0,0.9152303525766712,1.9269696474233269,210.54477072337917,1.0940190078555503,1.7481809921444516,159.79438927401839
2008-08-21,24.8986,1219291200000,19.82,2.4245930434782608,27.73061707022645,0.1863288270498229,-0.1863288270498229,-100.0,0.9162568561285304,1.846401143871468,201.51567014440533,1.1025856831783534,1.660072316821645,150.56175153991302
2008-08-22,25.2557,1219377600000,18.81,2.4245930434782608,22.992000261465808,0.1258602076033668,-0.1258602076033668,-100.0,0.8662569899125394,2.587114010087461,298.65433009073513,0.9921171975159062,2.461253802484098,248.08095340416045
